timestamp,equity,daily_pnl,daily_pnl_pct
2026-08-11,99923.23,-76.77,-0.0768
2026-08-12,99551.43,-371.8,-0.3721
2026-08-13,99555.06,3.63,0.0036
2026-08-14,99551.03,-4.03,-0.004
2026-08-17,99514.27,-36.76,-0.0369
2026-08-18,99515.93,1.66,0.0017
2026-08-19,99513.39,-2.54,-0.0026
2026-08-20,99612.24,98.85,0.0993
2026-08-21,99506.06,-106.18,-0.1066
2026-08-24,99599.12,93.06,0.0935
2026-08-25,99598.94,-0.18,-0.0002
2026-08-26,99598.94,0.0,0.0
2026-08-27,99598.94,0.0,0.0
2026-08-28,99352.4,-246.54,-0.2475
2026-08-31,99352.4,0.0,0.0
2026-09-01,99352.4,0.0,0.0
2026-09-02,99329.81,-22.59,-0.0227
2026-09-03,99314.21,-15.6,-0.0157
2026-09-04,99491.97,177.76,0.179
